tKee44bS^^2019-05-28|African Lyon|Kinondoni MC|0-2^^14~A~G~?;21~A~G~?
2Tdi5pqM^^2019-05-28|Tanzania Prisons|Lipuli|3-1^^27~H~G~asukile-benjamin;46~A~G~karie-seif;47~H~G~adam-adam-omar;85~H~G~adam-adam-omar
M7jX0Aes^^2019-05-25|Simba|Biashara Mara United|1-1^^14~A~G~innocent-edwin;17~H~G~chama-cletus
IHYWbsaB^^2019-05-23|Alliance|Stand U.|3-2^^2~H~G~ambundo-dickson;19~H~G~ambundo-dickson;44~A~G~kimanzi-william;47~H~G~nyangi-juma;53~A~G~mwasekaga-sixtus
lpF0dk0i^^2019-05-22|Ndanda|Lipuli|1-1^^23~A~G~nonga-paul;50~H~G~mhilu-yussuf
ClmUNZA8^^2019-05-15|Biashara Mara United|Alliance|1-2^^7~A~G~javu-hussein;22~H~G~seif-tariq;71~A~G~chinedu-michael
junYMgQE^^2019-05-15|Mbeya City|Coastal Union|1-0^^90+2~H~G~seleman-iddi
MRE0QEis^^2019-05-12|Singida United|JKT Tanzania|2-2^^30~H~G~kyombo-habib;45+4~A~G~chota-dickson;50~H~G~kyombo-habib;78~A~G~kamuntu-s
v33A35Pg^^2019-05-12|African Lyon|Ndanda|0-1^^72~A~G~majogoru-b
h67E2Pv0^^2019-05-12|Coastal Union|Mtibwa Sugar|1-0^^74~H~G~lyanga-ayubu
pt464oAm^^2019-05-12|Lipuli|Mbeya City|0-3^^63~A~G~hamidu-mohamed;81~A~G~ikobela-frank;88~A~G~ikobela-frank
4zQBo9A7^^2019-05-09|Ruvu Shooting|Lipuli|2-0^^35~H~G~martin-emmanuel;38~H~G~patrick-w
EHXFMeCQ^^2019-05-04|Mbao|Ndanda|1-0^^57~H~G~khamis-said
dMnH1fz1^^2019-05-03|Ruvu Shooting|JKT Tanzania|3-1^^44~A~G~bilal-al-daoud;48~H~G~said-mussa;59~H~G~martin-emmanuel;79~H~G~maganga-fully
pdnXzGLl^^2019-04-11|Young Africans|Kagera Sugar|3-2^^31~A~G~ngalyoma-paul;35~H~OG~khamis-kassim;48~H~G~makambo-heritier;58~A~G~khamis-kassim;72~H~G~kamusoko-thabani
Sp5jYPuf^^2019-04-06|Mtibwa Sugar|Alliance|1-0^^18~H~G~kibaya-japhary
x8OzkhaS^^2019-04-03|Lipuli|African Lyon|2-0^^60~H~G~zawadi-mauya;90~H~G~athuman-miraji
djYhA9is^^2019-03-16|Biashara Mara United|African Lyon|1-0^^15~H~G~manyenye-daniel
zsXd9T6m^^2019-03-16|Kagera Sugar|Mtibwa Sugar|2-1^^7~A~G~kibaya-japhary;55~H~G~kapera-ramadhan;60~H~G~oviedo-ally
W8Q577y0^^2019-03-16|Mbeya City|Mbao|2-0^^55~H~G~kyaruzi-erick;66~H~G~hamidu-mohamed
hCS34FY7^^2019-03-10|Young Africans|Kinondoni MC|2-1^^17~A~G~rashid-m;37~H~G~tsishimbi-papy;67~H~OG~ally-ally-ahmed
