SEASON|2010/2011
CLUBS|AFC Arusha|Azam FC|Dodoma Mji|Young Africans|Kagera Sugar|JKT Ruvu Stars|Maji Maji|Mtibwa Sugar|Simba SC|African Lyon|Toto Africa|Ruvu Shooting
1|0>1,2>3,4>5,6>7,8>9,10>11
2|2>7,4>11,6>9,10>5,0>3,1>8
3|2>10,5>6,9>0,4>1,7>3,8>11
4|10>1,3>6,8>2,7>4,9>5,11>0
5|6>0,11>2,3>4,5>7,8>10,1>9
6|6>2,3>11,9>4,0>10,1>5,7>8
7|0>5,4>2,7>10,11>9,6>1,8>3
8|2>9,7>1,11>6,8>0,5>3,10>4
9|0>2,11>7,10>9,1>3,5>8,4>6
10|2>1,4>8,7>0,10>6,3>9,5>11
11|9>7,1>11,0>4,2>5,6>8,3>10
12|0>9,1>4,6>5,10>2,3>7,11>8
13|11>4,9>6,3>0,7>2,5>10,8>1
14|3>2,1>0,7>6,11>10,5>4,9>8
15|1>10,4>7,6>3,0>11,2>8,5>9
16|2>11,7>5,0>6,9>1,10>8,4>3
17|2>6,5>1,4>9,10>0,8>7,11>3
18|9>11,2>4,10>7,5>0,1>6,3>8
19|9>2,4>10,0>8,3>5,6>11,1>7
20|9>10,2>0,6>4,7>11,3>1,8>5
21|6>10,11>5,8>4,0>7,1>2,9>3
22|5>2,4>0,7>9,11>1,8>6,10>3
