SEASON|2011/2012
CLUBS|Azam FC|Moro United|Coastal Union|Mtibwa Sugar|Dodoma Mji|African Lyon|Kagera Sugar|Ruvu Shooting|Toto Africa|Villa Squad|JKT Oljoro FC|Simba SC|Young Africans|JKT Ruvu Stars
1|0>1,2>3,4>5,6>7,8>9,10>11,12>13
2|0>5,4>13,2>11,10>3,6>9,8>7,12>1
3|5>8,13>6,3>12,11>9,4>7,2>1,10>0
4|1>8,3>6,9>4,5>2,13>10,7>12,0>11
5|1>6,3>8,7>10,13>2,9>0,11>4,5>12
6|7>2,8>13,9>3,0>12,6>11,10>5,1>4
7|2>0,8>11,12>9,4>3,13>1,6>10,7>5
8|6>4,11>3,13>9,7>0,8>10,5>1,12>2
9|4>8,10>2,3>7,9>1,12>6,13>0,11>5
10|5>6,2>9,10>1,13>3,11>7,12>8,0>4
11|11>13,12>10,5>9,2>4,1>7,3>0,8>6
12|13>5,4>10,8>2,12>11,6>0,3>1,9>7
13|4>12,10>9,1>11,3>5,7>13,8>0,6>2
14|1>12,3>10,7>8,9>6,13>4,5>0,11>2
15|13>12,7>6,9>8,3>2,1>0,5>4,11>10
16|1>2,7>4,9>11,0>10,6>13,8>5,12>3
17|2>5,4>9,10>13,11>0,8>1,6>3,12>7
18|0>9,2>13,10>7,6>1,8>3,4>11,12>5
19|5>10,2>7,4>1,3>9,13>8,10>6,12>0
20|3>4,5>7,1>13,10>8,0>2,11>6,4>6
21|11>8,2>10,9>12,0>7,3>11,8>4,9>13
22|1>5,1>9,7>3,5>11,2>12,0>13,6>12
23|4>0,6>5,1>10,3>13,7>11,8>12,9>2
24|4>2,13>11,7>1,6>8,9>5,10>12,0>3
25|12>4,11>1,13>7,2>6,5>3,0>8,9>10
26|5>13,0>6,2>8,10>4,1>3,7>9,11>12
