SEASON|2012/2013
CLUBS|JKT Mgambo|Coastal Union|JKT Ruvu Stars|Ruvu Shooting|Kagera Sugar|Azam FC|Polisi Tanzania FC|Mtibwa Sugar|Simba SC|African Lyon|Tanzania Prisons|Young Africans|Toto Africa|JKT Oljoro FC
1|0>1,2>3,4>5,6>7,8>9,10>11,12>13
2|9>6,2>8,4>13,7>11,3>0,10>1,12>5
3|5>7,1>12,13>6,11>2,9>10,0>4,8>3
4|1>4,6>12,5>2,13>0,8>10,11>9,3>7
5|9>12,13>1,3>4,2>0,6>10,5>11,7>8
6|9>5,3>1,0>6,8>13,10>7,12>2,4>11
7|4>2,12>11,1>8,7>0,6>5,3>9,10>13
8|0>12,13>9,6>2,8>4,10>5,1>7,11>3
9|0>8,2>13,10>12,5>3,1>9,7>4,11>6
10|9>4,0>10,13>11,3>6,8>5,2>1,12>7
11|13>7,2>9,6>8,11>0,5>1,12>4,3>10
12|11>8,9>0,4>10,3>12,5>13,1>6,7>2
13|9>7,0>5,13>3,4>6,8>12,10>2,1>11
14|9>8,5>4,1>0,13>12,7>6,3>2,11>10
15|5>12,13>4,0>3,6>9,11>7,1>10,8>2
16|4>0,10>9,12>1,7>5,6>13,2>11,3>8
17|9>11,0>13,4>1,7>3,12>6,2>5,10>8
18|1>13,12>9,0>2,10>6,11>5,8>7,4>3
19|13>8,1>3,7>10,6>0,11>4,2>12,5>9
20|9>3,0>7,13>10,2>4,5>6,11>12,8>1
21|7>1,3>11,12>0,2>6,9>13,5>10,4>8
22|9>1,13>2,4>7,6>11,3>5,12>10,8>0
23|4>9,7>12,6>3,10>0,11>13,5>8,1>2
24|10>3,0>11,4>12,7>13,9>2,1>5,8>6
25|12>8,2>10,7>9,6>4,3>13,11>1,5>0
26|0>9,13>5,2>7,6>1,8>11,10>4,12>3
