SEASON|2013/2014
CLUBS|JKT Mgambo|JKT Ruvu Stars|JKT Oljoro FC|Coastal Union|Mbeya City|Kagera Sugar|Mtibwa Sugar|Azam FC|Rhino Rangers|Simba SC|Ruvu Shooting|Tanzania Prisons|Young Africans|Ashanti United SC
1|0>1,2>3,4>5,6>7,8>9,10>11,12>13
2|0>13,2>9,1>11,4>10,6>5,8>7,12>3
3|13>1,3>11,2>8,5>7,4>12,10>0,9>6
4|7>13,3>8,5>2,6>4,10>1,9>0,11>12
5|0>8,5>13,9>4,11>6,7>12,3>10,1>2
6|0>2,4>3,8>5,12>10,13>6,1>9,11>7
7|8>13,3>7,2>4,1>5,10>9,0>11,12>6
8|7>0,2>10,6>1,8>4,5>12,9>11,13>3
9|7>1,0>4,6>2,10>8,13>11,5>3,9>12
10|13>10,2>7,4>1,6>0,3>9,11>5,12>8
11|3>6,2>13,10>5,9>7,8>1,11>4,12>0
12|9>5,1>12,7>10,0>3,4>13,6>8,11>2
13|13>9,1>3,5>0,10>6,7>4,8>11,12>2
14|13>12,7>6,3>2,5>4,1>0,9>8,11>10
15|7>8,3>12,5>6,10>4,13>0,9>2,11>1
16|7>5,12>4,0>10,1>13,6>9,8>2,11>3
17|0>9,2>5,4>6,8>3,1>10,13>7,12>11
18|13>5,2>1,4>9,6>11,8>0,10>3,12>7
19|7>11,3>4,2>0,5>8,6>13,10>12,9>1
20|13>8,5>1,4>2,9>10,11>0,7>3,6>12
21|3>13,4>8,10>2,1>6,11>9,0>7,12>5
22|5>11,1>4,8>12,7>2,0>6,10>13,9>3
23|13>2,7>9,0>12,1>8,5>10,4>11,6>3
24|13>4,5>9,3>0,2>11,8>6,12>1,10>7
25|3>1,6>10,11>8,0>5,2>12,4>7,9>13
26|3>5,2>6,1>7,4>0,8>10,11>13,12>9
