SEASON|2014/2015
CLUBS|Azam FC|Polisi Tanzania FC|JKT Mgambo|Kagera Sugar|Mbeya City|JKT Ruvu Stars|Mtibwa Sugar|Young Africans|Ruvu Shooting|Tanzania Prisons|Stand United|Ndanda FC|Simba SC|Coastal Union
1|0>1,2>3,4>5,6>7,8>9,10>11,12>13
2|0>8,2>10,4>13,6>11,12>1,5>3,7>9
3|13>11,1>3,8>4,12>10,9>0,6>2,7>5
4|13>2,3>10,4>0,11>8,1>6,7>12,9>5
5|0>5,3>13,11>2,8>1,10>7,9>12,4>6
6|13>8,5>1,3>7,6>12,11>0,10>9,2>4
7|0>13,6>3,1>9,10>4,7>2,5>11,12>8
8|12>3,5>8,9>13,4>11,6>10,1>2,7>0
9|13>5,1>10,8>3,9>11,0>6,4>7,2>12
10|2>8,5>10,11>1,3>0,12>4,13>7,6>9
11|2>9,3>4,11>12,10>0,7>8,13>1,5>6
12|1>7,0>12,5>2,3>11,4>9,8>6,10>13
13|13>6,1>4,12>5,9>3,8>10,7>11,2>0
14|13>12,5>4,3>2,11>10,1>0,9>8,7>6
15|13>4,3>5,11>6,1>12,10>2,8>0,9>7
16|2>6,3>1,11>13,0>9,10>12,4>8,5>7
17|2>13,10>3,5>9,6>1,8>11,12>7,0>4
18|12>9,13>3,5>0,6>4,2>11,1>8,7>10
19|1>5,8>13,12>6,9>10,4>2,0>11,7>3
20|4>10,2>7,11>5,13>0,8>12,9>1,3>6
21|13>9,11>4,8>5,2>1,10>6,3>12,0>7
22|5>13,6>0,11>9,10>1,7>4,3>8,12>2
23|7>13,10>5,0>3,4>12,1>11,8>2,9>6
24|1>13,8>7,0>10,4>3,12>11,6>5,9>2
25|7>1,2>5,11>3,9>4,13>10,6>8,12>0
26|0>2,5>12,3>9,4>1,6>13,11>7,10>8
