SEASON|2015/2016
CLUBS|African Sports|Simba SC|Azam FC|Tanzania Prisons|Maji Maji|JKT Ruvu Stars|Mbeya City|Kagera Sugar|Ndanda FC|JKT Mgambo|Stand United|Mtibwa Sugar|Toto Africa|Mwadui|Young Africans|Coastal Union
1|0>1,2>3,4>5,6>7,8>9,10>11,12>13,14>15
2|9>1,4>7,6>5,13>0,8>15,10>2,12>11,14>3
3|9>4,10>0,3>6,14>5,15>12,11>8,13>2,1>7
4|15>13,5>10,7>12,11>4,1>14,3>9,0>8,2>6
5|0>9,2>15,7>5,4>8,11>14,1>10,3>13,12>6
6|9>15,4>13,7>3,10>6,12>5,0>14,2>11,8>1
7|15>11,4>0,6>1,8>12,10>3,14>2,9>7,13>5
8|15>7,10>4,3>1,14>12,5>11,6>0,13>9,8>2
9|6>4,11>7,13>14,8>10,1>15,12>9,5>2,3>0
10|15>6,7>14,11>13,1>4,0>5,2>12,3>8,9>10
11|2>1,7>8,4>12,6>11,10>13,9>14,15>0,5>3
12|7>0,13>8,3>11,12>1,14>10,5>15,4>2,6>9
13|15>10,4>3,11>9,13>1,8>5,14>6,2>7,12>0
14|15>4,5>9,6>13,1>11,10>7,12>3,2>0,14>8
15|9>2,5>1,8>6,10>12,3>15,0>11,13>7,14>4
16|15>14,5>4,11>10,13>12,1>0,9>8,7>6,3>2
17|0>13,7>4,11>12,1>9,3>14,5>6,15>8,2>10
18|0>10,2>13,5>14,7>1,4>9,6>3,8>11,12>15
19|9>0,5>7,6>12,8>4,10>1,15>2,13>3,14>11
20|9>3,6>2,10>5,12>7,14>1,4>11,13>15,8>0
21|0>4,2>14,5>13,7>9,11>15,3>10,12>8,1>6
22|14>0,15>9,5>12,13>4,3>7,6>10,1>8,11>2
23|11>5,9>13,7>15,4>10,1>3,0>6,2>8,12>14
24|7>11,15>1,4>6,10>8,0>3,9>12,14>13,2>5
25|6>15,13>11,5>0,8>3,10>9,12>2,14>7,4>1
26|0>7,11>3,8>13,9>6,15>5,1>12,2>4,10>14
27|12>4,8>7,14>9,0>15,11>6,13>10,3>5,1>2
28|0>12,9>11,5>8,10>15,7>2,1>13,3>4,6>14
29|4>15,9>5,0>2,7>10,11>1,13>6,8>14,3>12
30|2>9,15>3,7>13,4>14,6>8,11>0,1>5,12>10
