SEASON|2016/2017
CLUBS|Azam FC|African Lyon|Maji Maji|Tanzania Prisons|Mtibwa Sugar|Ruvu Shooting|Simba SC|Ndanda FC|Stand United|Mbao|Kagera Sugar|Mbeya City|Toto Africa|Mwadui|JKT Ruvu Stars|Young Africans
1|0>1,2>3,4>5,6>7,8>9,10>11,12>13,15>14
2|0>2,14>6,10>8,9>13,4>7,3>5,12>11,15>1
3|14>1,10>13,2>4,9>11,8>12,6>5,7>15,3>0
4|11>0,13>8,7>10,5>14,3>12,15>2,6>4,1>9
5|0>6,2>7,11>3,4>10,13>15,5>9,8>14,1>12
6|14>11,4>9,7>0,6>2,3>13,1>10,5>12,8>15
7|15>6,0>5,10>3,2>8,9>14,11>13,4>1,12>7
8|10>12,11>8,1>7,14>4,2>9,13>0,3>6,15>5
9|14>3,2>10,9>12,11>6,13>1,8>0,15>4,5>7
10|9>7,14>13,4>3,6>10,8>1,12>2,0>15,5>11
11|1>2,0>4,7>11,5>13,3>8,12>15,14>10,6>9
12|1>11,0>14,10>15,2>5,4>8,7>13,6>12,3>9
13|10>0,1>3,14>7,11>2,13>6,12>4,15>9,5>8
14|2>14,11>15,7>3,5>1,8>6,12>0,9>10,13>4
15|1>6,14>12,10>5,9>0,4>11,13>2,7>8,3>15
16|14>15,11>10,13>12,5>4,1>0,9>8,7>6,3>2
17|1>15,10>8,2>0,11>12,13>9,7>4,6>14,5>3
18|4>2,15>7,0>3,5>6,11>9,13>10,1>14,12>8
19|14>5,10>7,9>1,8>13,12>3,2>15,4>6,0>11
20|9>5,7>2,6>0,3>11,12>1,15>13,14>8,10>4
21|10>1,13>3,2>6,11>14,0>7,9>4,15>8,12>5
22|14>9,7>12,8>2,1>4,13>11,5>0,3>10,6>15
23|6>3,8>11,0>13,4>14,7>1,12>10,9>2,5>15
24|3>14,0>8,10>2,7>5,6>11,12>9,1>13,4>15
25|7>9,11>5,15>0,1>8,10>6,2>12,13>14,3>4
26|13>5,10>14,2>1,11>7,8>3,9>6,4>0,15>12
27|11>1,14>0,5>2,8>4,12>6,9>3,13>7,15>10
28|11>4,8>7,0>9,2>13,5>10,12>14,15>3,6>1
29|0>12,6>8,14>2,10>9,4>13,3>7,15>11,1>5
30|0>10,2>11,9>15,4>12,7>14,6>13,8>5,3>1
