SEASON|2020/2021
CLUBS|Namungo FC|Coastal Union|Biashara Mara United|Gwambina FC|Dodoma Jiji FC|Mwadui|Mtibwa Sugar|Ruvu Shooting|Singida Black Stars|Simba SC|Young Africans|Tanzania Prisons|Kinondoni MC|Mbeya City|Kagera Sugar|JKT Tanzania|Azam FC|Polisi Tanzania FC
1|0>1,2>3,4>5,6>7,8>9,10>11,12>13,14>15,16>17
2|3>14,16>1,15>4,12>11,6>9,8>7,2>5,10>13,0>17
3|17>15,8>6,11>0,14>10,13>16,1>4,9>2,5>12,7>3
4|14>12,13>0,17>4,11>16,9>3,7>2,6>10,5>8,1>15
5|4>7,3>8,13>11,0>5,10>1,2>6,15>9,16>14,12>17
6|15>7,2>8,12>1,0>14,3>6,16>5,4>13,11>9,10>17
7|15>11,1>2,6>0,17>3,7>12,8>16,14>4,5>13,10>9
8|8>0,1>3,14>13,17>2,12>10,5>15,4>11,6>16,9>7
9|3>12,16>15,11>17,2>10,0>4,9>5,14>6,7>1,13>8
10|2>12,3>10,5>7,0>15,9>14,13>17,6>1,16>4,11>8
11|15>13,1>8,17>6,7>11,14>2,5>3,16>10,4>9,12>0
12|11>6,4>2,7>13,17>8,1>9,15>3,12>16,14>5,10>0
13|13>6,4>8,10>15,11>5,17>1,7>14,2>16,9>12,0>3
14|12>4,1>13,11>14,6>5,8>15,10>7,3>16,0>2,9>17
15|6>12,4>3,5>10,17>7,15>2,1>11,13>9,8>14,16>0
16|5>17,2>13,14>1,16>7,3>11,6>15,8>12,10>4,0>9
17|3>13,2>11,14>17,5>1,15>12,8>10,6>4,0>7,9>16
18|9>8,1>0,17>16,11>10,5>4,15>14,7>6,13>12,3>2
19|14>3,1>16,11>12,7>8,5>2,13>10,4>15,9>6,17>0
20|3>7,12>5,4>1,6>8,10>14,15>17,2>9,16>13,0>11
21|12>14,8>5,10>6,2>7,15>1,4>17,16>11,0>13,3>9
22|9>15,5>0,8>3,14>16,7>4,6>2,17>12,1>10,11>13
23|14>0,5>16,7>15,6>3,1>12,17>10,8>2,13>4,9>11
24|12>7,16>8,4>14,13>5,3>17,11>15,2>1,0>6,9>10
25|13>14,0>8,2>17,15>5,16>6,11>4,3>1,10>12,7>9
26|8>13,15>16,12>3,1>7,6>14,10>2,17>11,4>0,5>9
27|12>2,1>6,10>3,7>5,14>9,17>13,8>11,4>16,15>0
28|8>1,11>7,10>16,6>17,2>14,3>5,9>4,13>15,0>12
29|5>14,8>17,13>7,3>15,6>11,0>10,16>12,2>4,9>1
30|1>17,14>7,5>11,6>13,3>0,15>10,8>4,16>2,12>9
31|2>0,15>8,14>11,5>6,4>12,7>10,13>1,16>3,17>9
32|14>8,2>15,10>5,12>6,0>16,11>1,9>13,3>4,7>17
33|12>15,7>0,11>2,1>5,4>6,13>3,17>14,10>8,16>9
34|1>14,4>10,15>6,12>8,13>2,17>5,7>16,9>0,11>3
