3722007^^2021-09-27|Mtibwa Sugar|Mbeya Kwanza FC|0 - 1^^50~A~G~Never Tigere
3722009^^2021-09-27|Coastal Union|Azam FC|1 - 1^^49~A~G~Daniel Amoah;90~H~G~Hanc Masoud
3722008^^2021-09-27|Namungo FC|Geita Gold FC|2 - 0^^15~H~G~Blaise Bigirimana;82~H~G~Reliants Lusajo
3722010^^2021-09-28|Dodoma Jiji FC|Ruvu Shooting|1 - 0^^30~H~G~Cleophace Mkandala
3722011^^2021-09-28|Mbeya City|Tanzania Prisons|1 - 0^^90+2~H~G~Peter Mapunda
3722013^^2021-09-29|Polisi Tanzania FC|Kinondoni MC|2 - 0^^3~H~G~Vitalis Mayanga;19~H~G~Vitalis Mayanga
3722014^^2021-09-29|Kagera Sugar|Young Africans|0 - 1^^24~A~G~Feisal Salum
3722016^^2021-10-01|Biashara Mara United|Ruvu Shooting|0 - 1^^47~A~G~Rashid Juma
3722015^^2021-10-01|Dodoma Jiji FC|Simba SC|0 - 1^^69~A~G~Meddie Kagere
3722018^^2021-10-02|Polisi Tanzania FC|Azam FC|2 - 1^^23~H~G~Kassim Haruna;28~A~G~Iddy Nado;40~H~G~Adam Adam
3722019^^2021-10-02|Young Africans|Geita Gold FC|1 - 0^^16~H~G~Ducapel Moloko
3722021^^2021-10-03|Mbeya City|Mbeya Kwanza FC|2 - 2^^44~H~G~Paul Nonga;75~H~G~Richardson Ngodya;77~A~G~Crispin Ngushi;86~A~G~Crispin Ngushi
3722022^^2021-10-03|Namungo FC|Kagera Sugar|1 - 1^^52~H~G~Reliants Lusajo;70~A~G~Mbaraka Abeid
3722024^^2021-10-16|Geita Gold FC|Mtibwa Sugar|1 - 1^^47~H~G~Ayubu Lyanga;63~A~G~Boban Bogere
3722026^^2021-10-17|Ruvu Shooting|Coastal Union|1 - 0^^60~H~G~Mohamed Sadat
3722028^^2021-10-19|Kinondoni MC|Young Africans|0 - 2^^4~A~G~Fiston Mayele;11~A~G~Feisal Salum
3722029^^2021-10-19|Azam FC|Namungo FC|1 - 0^^90~H~G~Idris Mbombo
3725873^^2021-10-22|Kagera Sugar|Mtibwa Sugar|1 - 0^^39~H~G~Yusufu Mhilu
3725874^^2021-10-23|Namungo FC|Kinondoni MC|1 - 1^^30~A~G~Charles Ilanfya;43~H~G~Shiza Kichuya
3725875^^2021-10-23|Geita Gold FC|Mbeya City|1 - 1^^45~A~G~Juma Liuzio;58~H~G~George Mpole
3725876^^2021-10-24|Ruvu Shooting|Polisi Tanzania FC|0 - 1^^78~A~G~Vitalis Mayanga
3725877^^2021-10-24|Dodoma Jiji FC|Tanzania Prisons|2 - 1^^2~A~G~Salum Kimenya;37~H~G~Khamis Mcha Khamis;59~H~G~<TBD>
3722027^^2021-10-27|Tanzania Prisons|Biashara Mara United|0 - 3^^45~A~G~Seleman Chombo;47~A~G~Denis Nkane;90~A~G~<TBD>
3722030^^2021-10-27|Simba SC|Polisi Tanzania FC|1 - 0^^88~H~PEN~Larry Bwalya
3725881^^2021-10-29|Kinondoni MC|Kagera Sugar|0 - 1^^17~A~G~Meshack Abraham
3725878^^2021-10-29|Mbeya Kwanza FC|Biashara Mara United|1 - 1^^13~A~G~Seleman Chombo;81~H~G~Hamis Kanduru
3725882^^2021-10-30|Mtibwa Sugar|Dodoma Jiji FC|0 - 1^^62~A~G~Seif Karihe
3725879^^2021-10-30|Young Africans|Azam FC|2 - 0^^36~H~G~Fiston Mayele;73~H~G~Jesus Moloko
3725885^^2021-11-01|Mbeya Kwanza FC|Polisi Tanzania FC|2 - 2^^24~A~G~Tariq Seif;44~A~G~Vitalis Mayanga;49~H~G~Kelvin Mhagama;54~H~G~Kumaahran Sathasivam
