SEASON|2021/2022
CLUBS|Mtibwa Sugar|Mbeya Kwanza FC|Coastal Union|Azam FC|Namungo FC|Geita Gold FC|Dodoma Jiji FC|Ruvu Shooting|Biashara Mara United|Simba SC|Mbeya City|Tanzania Prisons|Polisi Tanzania FC|Kinondoni MC|Kagera Sugar|Young Africans
1|0>1,2>3,4>5,6>7,8>9,10>11,12>13,14>15
2|8>7,6>9,2>13,12>3,15>5,0>11,10>1,4>14
3|14>10,5>0,1>6,7>2,13>15,3>4,11>8,9>12
4|14>0,4>13,5>10,7>12,6>11,1>8,15>3,9>2
5|13>14,0>6,1>12,15>7,3>5,2>11,8>10,9>4
6|11>1,12>2,7>9,10>0,14>5,4>15,13>3,6>8
7|7>14,10>13,11>4,6>2,8>12,1>15,3>0,9>5
8|7>4,12>11,2>1,13>5,10>6,9>15,0>8,3>14
9|5>7,1>4,6>12,0>13,3>10,11>15,8>2,14>9
10|0>12,14>1,4>6,5>11,3>7,2>10,13>9,15>8
11|14>11,5>1,12>10,2>0,13>7,4>8,15>6,9>3
12|7>0,8>14,6>5,2>15,11>13,12>4,10>9,1>3
13|10>7,1>13,6>14,11>3,8>5,0>9,2>4,12>15
14|7>1,9>11,3>6,14>2,13>8,15>10,5>12,4>0
15|9>1,12>14,5>2,11>7,13>6,4>10,8>3,0>15
16|5>4,1>0,13>12,7>6,11>10,15>14,3>2,9>8
17|11>0,14>4,1>10,3>12,5>15,7>8,13>2,9>6
18|10>14,2>7,0>5,6>1,8>11,4>3,15>13,12>9
19|12>7,10>5,0>14,13>4,11>6,8>1,3>15,2>9
20|12>1,6>0,14>13,4>7,11>2,10>8,5>3,15>9
21|1>2,5>13,6>10,11>12,8>0,4>9,14>3,7>15
22|15>4,1>11,8>6,5>14,0>10,3>13,2>12,9>7
23|15>11,10>3,12>6,2>8,9>14,13>0,7>5,4>1
24|13>10,2>6,4>11,15>1,0>3,14>7,5>9,12>8
25|8>15,6>4,10>2,7>3,1>14,12>0,11>5,9>13
26|10>12,6>15,0>2,7>13,11>14,1>5,8>4,3>9
27|0>7,5>6,13>11,14>8,3>1,15>2,4>12,9>10
28|5>8,14>6,7>10,4>2,13>1,15>12,3>11,9>0
29|2>14,12>5,10>15,8>13,1>7,6>3,0>4,11>9
30|3>8,2>5,6>13,14>12,10>4,1>9,7>11,15>0
