SEASON|2022/2023
CLUBS|Singida Black Stars|Ruvu Shooting|Namungo FC|Mtibwa Sugar|Fountain Gate FC|Tanzania Prisons|Polisi Tanzania FC|Young Africans|Coastal Union|Kinondoni MC|Dodoma Jiji FC|Mbeya City|Simba SC|Geita Gold FC|Azam FC|Kagera Sugar
1|0>1,2>3,4>5,6>7,8>9,10>11,12>13,14>15
2|0>2,8>7,10>5,12>15,3>1,4>11,6>9,14>13
3|13>15,7>14,3>0,12>9,5>11,8>6,4>10,2>1
4|11>14,7>3,5>12,2>8,15>10,1>6,9>0,13>4
5|10>13,1>8,5>14,9>3,6>2,15>4,11>12,0>7
6|2>9,3>11,12>10,8>15,1>7,14>4,6>13,0>5
7|9>1,11>0,15>6,3>5,8>13,4>12,14>10,2>7
8|11>6,15>1,0>10,3>4,9>14,13>2,7>12,5>8
9|4>0,5>6,10>3,2>15,1>13,7>9,14>12,11>8
10|5>2,13>7,12>3,1>11,14>0,15>9,6>10,4>8
11|11>2,6>4,1>5,13>9,3>14,12>0,15>7,8>10
12|9>10,14>1,3>8,5>13,12>2,0>6,11>15,7>4
13|1>12,11>13,0>8,2>14,5>15,3>6,10>7,4>9
14|13>0,10>2,1>4,7>11,6>12,14>8,15>3,9>5
15|9>11,4>2,15>0,10>1,8>12,13>3,7>5,6>14
16|9>8,3>2,15>14,1>0,5>4,7>6,11>10,13>12
17|1>3,7>8,2>0,5>10,13>14,15>12,9>6,11>4
18|0>3,1>2,11>5,15>13,14>7,9>12,6>8,10>4
19|4>13,12>5,10>15,3>7,14>11,8>2,6>1,0>9
20|3>9,13>10,2>6,8>1,7>0,14>5,4>15,12>11
21|13>6,5>0,15>8,11>3,10>12,4>14,7>1,9>2
22|13>8,5>3,12>4,7>2,10>14,0>11,1>9,6>15
23|6>11,1>15,10>0,8>5,14>9,2>13,4>3,12>7
24|3>10,0>4,13>1,8>11,15>2,6>5,12>14,9>7
25|9>15,11>1,3>12,2>5,8>4,7>13,10>6,0>14
26|4>6,14>3,5>1,10>8,2>11,0>12,9>13,7>15
27|6>0,1>14,10>9,8>3,15>11,13>5,2>12,4>7
28|9>4,12>1,13>11,7>10,8>0,15>5,14>2,6>3
29|8>14,4>1,11>7,3>15,0>13,5>9,12>6,2>10
30|14>6,11>9,3>13,2>4,1>10,12>8,0>15,5>7
