SEASON|2025/2026
CLUBS|Kinondoni MC|Dodoma Jiji FC|Coastal Union|Tanzania Prisons|Fountain Gate FC|Mbeya City|Mashujaa|JKT Tanzania|Namungo FC|Pamba Jiji|TRA United|Mtibwa Sugar|Singida Black Stars|Young Africans|Azam FC|Simba SC
1|0>1,2>3,4>5,6>7,8>9,13>11,14>12,10>15
2|10>1,6>11,8>3,2>7,0>12,13>9,14>5,15>4
3|3>0,1>2,9>10,11>4,12>6,5>13,7>14,15>8
4|9>6,4>1,0>5,11>2,7>8,12>10,15>14,3>13
5|5>3,10>6,2>4,1>11,9>12,7>15,13>0,8>14
6|5>7,6>8,4>0,1>9,2>13,14>10,11>12,3>15
7|0>7,8>1,10>3,6>5,9>4,14>11,13>15,12>2
8|0>11,2>5,4>3,7>10,13>1,15>6,8>12,9>14
9|6>1,9>0,11>10,5>8,4>7,12>13,3>14,15>2
10|6>2,7>11,3>9,0>14,8>13,1>15,4>10,5>12
11|13>6,14>4,12>7,11>5,1>3,10>0,8>2,9>15
12|13>4,15>5,1>12,3>7,11>9,2>0,10>8,6>14
13|15>11,5>9,7>1,8>0,2>10,6>4,14>13,3>12
14|14>2,11>3,7>9,5>1,0>6,4>8,12>15,10>13
15|9>2,3>6,10>5,11>8,12>4,0>15,13>7,1>14
16|1>0,7>6,3>2,9>8,5>4,11>13,15>10,12>14
17|1>10,7>2,11>6,3>8,12>0,9>13,5>14,4>15
18|0>3,2>1,6>12,13>5,10>9,14>7,4>11,8>15
19|1>4,5>0,6>9,13>3,8>7,10>12,14>15,2>11
20|6>10,3>5,12>9,4>2,14>8,0>13,15>7,11>1
21|10>14,8>6,12>11,13>2,7>5,9>1,15>3,0>4
22|4>9,5>6,7>0,1>8,3>10,11>14,2>12,15>13
23|12>8,10>7,5>2,1>13,11>0,3>4,6>15,14>9
24|10>11,0>9,1>6,7>4,2>15,8>5,13>12,14>3
25|11>7,10>4,15>1,2>6,13>8,14>0,9>3,12>5
26|2>8,4>14,0>10,5>11,6>13,7>12,15>9,3>1
27|0>2,8>10,14>6,5>15,12>1,4>13,7>3,9>11
28|1>7,4>6,0>8,11>15,9>5,12>3,10>2,13>14
29|2>14,1>5,6>0,8>4,9>7,15>12,3>11,13>10
30|14>1,2>9,4>12,7>13,6>3,5>10,8>11,15>0
